Key,english
attNeonautRank01Desc,Rank 1
attNeonautRank02Desc,Rank 2
attNeonautRank03Desc,Rank 3
attNeonautRank04Desc,Rank 4
attNeonautRank05Desc,Rank 5
reqUniversalPerksLevel01,Universal Perks Level 1
reqUniversalPerksLevel02,Universal Perks Level 2
reqUniversalPerksLevel03,Universal Perks Level 3
reqUniversalPerksLevel04,Universal Perks Level 4
reqUniversalPerksLevel05,Universal Perks Level 5
reqEmpathLevel01,Empth Level 1
reqEmpathLevel02,Empth Level 2
reqEmpathLevel03,Empth Level 3
reqEmpathLevel04,Empth Level 4
reqEmpathLevel05,Empth Level 5
reqCyberneticianLevel01,Cybernetician Level 1
reqCyberneticianLevel02,Cybernetician Level 2
reqCyberneticianLevel03,Cybernetician Level 3
reqCyberneticianLevel04,Cybernetician Level 4
reqCyberneticianLevel05,Cybernetician Level 5
reqCosmotechLevel01,Cosmotech Level 1
reqCosmotechLevel02,Cosmotech Level 2
reqCosmotechLevel03,Cosmotech Level 3
reqCosmotechLevel04,Cosmotech Level 4
reqCosmotechLevel05,Cosmotech Level 5
reqExomedicLevel01,Exomedic Level 1
reqExomedicLevel02,Exomedic Level 2
reqExomedicLevel03,Exomedic Level 3
reqExomedicLevel04,Exomedic Level 4
reqExomedicLevel05,Exomedic Level 5
reqAstrominerLevel01,Astrominer Level 1
reqAstrominerLevel02,Astrominer Level 2
reqAstrominerLevel03,Astrominer Level 3
reqAstrominerLevel04,Astrominer Level 4
reqAstrominerLevel05,Astrominer Level 5
reqNeonautLevel01,Neonaut Level 1
reqNeonautLevel02,Neonaut Level 2
reqNeonautLevel03,Neonaut Level 3
reqNeonautLevel04,Neonaut Level 4
reqNeonautLevel05,Neonaut Level 5
perkGreatHeistCompleteDesc,Lockpicking is always successful. Break into locks 20% faster.
perkGreatHeistCompleteLongDesc,"Lock Picking: If there were still laws you would be breaking them! Master the skill of lockpicking, break into locks 20% faster. Lock picks never break."
attEmpathRank1LongDesc,"Deal 200% headshot damage and have a 5% chance to dismember with rifles and stun batons"
attEmpathRank2LongDesc,"Deal 210% headshot damage and have a 10% chance to dismember with rifles and stun batons"
attEmpathRank3LongDesc,"Deal 220% headshot damage and have a 15% chance to dismember with rifles and stun batons"
attEmpathRank4LongDesc,"Deal 230% headshot damage and have a 20% chance to dismember with rifles and stun batons"
attEmpathRank5LongDesc,"Deal 240% headshot damage and have a 25% chance to dismember with rifles and stun batons"
attCyberneticianRank1LongDesc,"Deal 200% headshot damage and have a 5% chance to dismember with machine guns and robotic turrets"
attCyberneticianRank2LongDesc,"Deal 210% headshot damage and have a 10% chance to dismember with machine guns and robotic turrets"
attCyberneticianRank3LongDesc,"Deal 220% headshot damage and have a 15% chance to dismember with machine guns and robotic turrets"
attCyberneticianRank4LongDesc,"Deal 230% headshot damage and have a 20% chance to dismember with machine guns and robotic turrets"
attCyberneticianRank5LongDesc,"Deal 240% headshot damage and have a 25% chance to dismember with machine guns and robotic turrets"
attCosmotechRank01LongDesc,"Deal 200% headshot damage and have a 5% chance to dismember with clubs and shotguns"
attCosmotechRank02LongDesc,"Deal 210% headshot damage and have a 10% chance to dismember with clubs and shotguns"
attCosmotechRank03LongDesc,"Deal 220% headshot damage and have a 15% chance to dismember with clubs and shotguns"
attCosmotechRank04LongDesc,"Deal 230% headshot damage and have a 20% chance to dismember with clubs and shotguns"
attCosmotechRank05LongDesc,"Deal 240% headshot damage and have a 25% chance to dismember with clubs and shotguns"
attExomedicRank01LongDesc,"Deal 200% headshot damage and have a 5% chance to dismember with blades and handguns"
attExomedicRank02LongDesc,"Deal 210% headshot damage and have a 10% chance to dismember with blades and handguns"
attExomedicRank03LongDesc,"Deal 220% headshot damage and have a 15% chance to dismember with blades and handguns"
attExomedicRank04LongDesc,"Deal 230% headshot damage and have a 20% chance to dismember with blades and handguns"
attExomedicRank05LongDesc,"Deal 240% headshot damage and have a 25% chance to dismember with blades and handguns"
attAstrominerRank01LongDesc,"Deal 200% headshot damage and have a 5% chance to dismember with sledgehammers and explosives"
attAstrominerRank02LongDesc,"Deal 210% headshot damage and have a 10% chance to dismember with sledgehammers and explosives"
attAstrominerRank03LongDesc,"Deal 220% headshot damage and have a 15% chance to dismember with sledgehammers and explosives"
attAstrominerRank04LongDesc,"Deal 230% headshot damage and have a 20% chance to dismember with sledgehammers and explosives"
attAstrominerRank05LongDesc,"Deal 240% headshot damage and have a 25% chance to dismember with sledgehammers and explosives"
attNeonautRank01LongDesc,"Deal 200% headshot damage and have a 5% chance to dismember with bows and spears"
attNeonautRank02LongDesc,"Deal 210% headshot damage and have a 10% chance to dismember with bows and spears"
attNeonautRank03LongDesc,"Deal 220% headshot damage and have a 15% chance to dismember with bows and spears"
attNeonautRank04LongDesc,"Deal 230% headshot damage and have a 20% chance to dismember with bows and spears"
attNeonautRank05LongDesc,"Deal 240% headshot damage and have a 25% chance to dismember with bows and spears"
perkFlurryOfBlowsDesc,Specialize in swinging melee weapons and beating the tar out of your opponents in a furious flurry of quick strikes.
perkFlurryOfBlowsRank1LongDesc,"You have developed quick hands. All melee attack speeds are increased by 10%."
perkFlurryOfBlowsRank2LongDesc,You have developed the sudden strike. All melee attack speeds are increased by 17%.
perkFlurryOfBlowsRank3LongDesc,You have mastered the flurry of blows. All attack speeds are increased by 25%. Each kill recharges stamina by 30 points.
perkWasteTreasuresHoneyLongDesc,Honey: It gives you energy and boosts your stamina. I learned a little trick on how to sometimes get some when harvesting trees.
perkWasteTreasuresCompleteDesc,Find more Armor Crafting Kits.
perkWasteTreasuresCompleteLongDesc,Armor Crafting Kits: All the best armor pieces are made with Armor Crafting Kits. Increase your chance of finding Armor Crafting Kits in loot.
perkSpearHunter0Desc,"Embrace your cybernetic essence and unlock the enigmatic realm of laser hunting, where the ancient tradition of spear hunting converges with futuristic technology."
perkSpearHunter3BleedDesc,Spears have a 25% chance to cause mechanical damage.
perkSpearHunter3BleedLongDesc,Mechanical Damage: Spears have a 25% chance to cause mechanical damage.
perkDeepCutsName,Lethal Blade
perkDeepCutsDesc,Specialize in using bladed weapons like knives or machetes (not axes) to inflict mechanical wounds to your foes.
perkDeepCutsRank1LongDesc,"You might have a dull blade, but you know how to use it. Bladed weapons deal 10% more damage. Inflict up to 3 Mechanical Wounds on an enemy and a power attack inflicts 2. Every attack refreshes the duration on the mechanical damage. Enemies run 10% slower while damaged. Stamina costs are reduced by 8% and 15% for power attacks. Find more bladed weapons and parts in loot."
perkDeepCutsRank2LongDesc,Your friends say you're really a knife guy. Bladed weapons deal 20% more damage. Inflict up to 4 Mechanical Wounds on an enemy and a power attack inflicts 3. Stamina costs are reduced by 15% and 30% for power attacks. Find more bladed weapons and parts in loot.
perkDeepCutsRank3LongDesc,"You're a quantum-powered marvel, surpassing the ordinary with each calculated move, soaring beyond the limitations of lesser programs. Bladed weapons deal 30% more damage. Inflict up to 5 Mechanical Wounds on an enemy and a power attack inflicts 4. Glancing blows have a 40% chance to cause 1 Mechanical Wound. Enemies run 15% slower while damaged. Stamina costs are reduced by 20% and 40% for power attacks. Killing blows grant 10 stamina. Find more bladed weapons and parts in loot."
perkDeepCutsRank4LongDesc,You're quite lethal with bladed weapons. Bladed weapons deal 40% more damage. Inflict up to 6 Mechanical Wounds on an enemy and a power attack inflicts 4. Glancing blows have a 70% chance to cause 1 Mechanical Wound. Stamina costs are reduced by 25% and 50% for power attacks. Killing blows grant 20 stamina. Find more bladed weapons and parts in loot.
perkDeepCutsRank5LongDesc,"You're a cybernetic warrior, slicing through enemies with precision, turning them into byte-sized sushi. Bladed weapons deal 50% more damage. Inflict up to 7 Mechanical Wounds on an enemy and a power attack inflicts 5. All glancing blows cause 1 Mechanical Wound. Enemies run 20% slower while damaged. Killing blows grant 30 stamina. Find more bladed weapons and parts in loot."
perkTechJunkie5RepulsorLongDesc,Stun Repulsor Mod: Craft a stun repulsor mod for stun batons and send enemies flying on the charged hit.
perkWasteTreasuresSinksLongDesc,Sinks: So many enemies and so few bullets. Here is a trick I learned about harvesting more lead and brass from sinks and plumbing.
perkHealingFactorRank3Desc,Cyborg
perkHealingFactorRank3LongDesc,What are you part cyborg? Gain 1 health every 15 seconds with natural healing. Critical injuries heal 60% faster.
perkRuleOneCardioDesc,Train your body in the number one tactic against the robot menace: Running away from them.
perkElectrocutionerRank3LongDesc,You're getting dangerous with batons. All batons deal 30% more damage. Stun batons electrify victims 60% longer. Stamina costs are reduced by 20% and 40% for power attacks. Killing blows grant 10 stamina. Find more batons and parts in loot.
perkPummelPeteRank5LongDesc,"Pummel Pete once took on 50 enemies with just a club and he would be proud of you. Clubs deal 50% more damage, attacks do 200% more damage to stunned enemies, and power attacks have a 100% chance to knock foes back down. Killing blows grant 30 stamina. 3 successive hits in a short time causes the last blow to do 100% extra damage. Find more clubs and parts in loot."
perkSkullCrusherRank1LongDesc,"You're a bruiser! With a little luck, you can sometimes knock down enemies. Sledgehammers deal 10% more damage. 15% chance to knock down enemies with power attacks. Stamina costs are reduced by 8% and 15% for power attacks. Find more sledges and parts in loot."
craftingBladesDesc,Reading [DECEA3]Knife Guy[-] will increase the quality of crafted blades.\nBoost loot odds with [DECEA3]Lethal Blade[-]
perkPistolPeteAPAmmoDesc,Craft AP ammunition.
perkPistolPeteAPAmmoLongDesc,Armor Piercing Ammunition: Armor piercing rounds do considerable more damage against armored targets. Craft AP 9mm ammunition and AP Nano Energy Cells.
perkPistolPeteCompleteDesc,Shots fired at point blank ignore armor. Bulk craft 9mm ammunition and Nano Energy Cells.
perkSniperAPAmmoDesc,Craft AP ammunition.
perkSniperAPAmmoLongDesc,Armor Piercing Ammunition: Learn to craft armor piercing 7.62mm and AP Heavy Energy Cells to do more damage against armored opponents.
perkSniperCompleteDesc,You can craft a ghillie suit. Bulk craft all 7.62mm ammo and Heavy Energy Cells.
perkShotgunMessiahSlugsDesc,You can craft shotgun slugs and AP Shotgun Energy Cells.
perkShotgunMessiahSlugsLongDesc,Slugs and AP rounds can penetrate multiple targets. You can craft shotgun slugs and AP Shotgun Energy Cells.
perkShotgunMessiahCompleteDesc,You can one shot most wood blocks. Bulk craft all shotgun ammo and Shotgun Energy Cells.
harvestToolsPlasma,Plasma Tools
handgunsPrimitive,Primitive Handguns
handgunsBasic,Basic Handguns
handgunsLaser,Laser Handguns
handgunsPlasma,Plasma Handguns
explosivesT2-2,Tier 2: Contact Grenade & EMP Grenade
explosivesT2-3,Tier 2: Hubcap Landmine & EMP Landmine
workstationsT1-1,Tier 1: Dew Collector and Fabricator
workstationsT1-2,Tier 1: Forge
workstationsT2-1,Tier 2: Workbench
workstationsT2-2,Tier 2: Lock Pick
workstationsT2-3,Tier 2: Bellows
workstationsT2-4,Tier 2: Anvil
workstationsT3-1,Tier 3: Cement Mixer
workstationsApiary-1,Tier 3: Apiary
workstationsApiary-2,Tier 4: Apiary Extractor
workstationsApiary-3,Tier 4: Apiary Brood Box
workstationsApiary-4,Tier 5: Apiary Smoker
workstationsT4,Tier 4: Chemistry Station
workstationsT5,Tier 5: Forge Crucible
workstationsT6,Tier 6: Blast Furnace
workstationsT7,Tier 7: Auto Miner
medicalT1-3,Tier 1: Anti-Radiation Pills
medicalT2-2,Tier 2: Recog & Herbal Antibiotics
medicalT2-3,Tier 2: Advanced Anti-Radiation Pills
vehiclesT4,"Tier 4: 4x4, Pickup Truck, Muscle Car & Luxury Sedan"
vehiclesT5,Tier 5: Gyrocopter & Hover Car
useTVOn,{0} Switch TV On
useTVOff,{0} Switch TV Off
blockcommand_nothing,Nothing
ttSearchContainerBeforePickup,You must search the container before picking it up.
ttEmptyContainerBeforePickup,You must empty the container before picking it up.
ttEnterWasteland,You have entered the [FF0000]Wasteland[-] your passive [4EE44E]Radiation[-] will increase over time.
npcTraderRekt,Trader Luna
npcTraderLuna,Trader Luna
vehicleMuscleCar,Muscle Car
vehiclePickupTruck,Pickup Truck
vehicleLuxurySedan,Luxury Sedan
vehicleHoverCar,Hover Car
robotAndroidPrime,Android Prime
robotAndroidBolt,Android Bolt
robotAndroidAndromeda,Android Andromeda
robotAndroidRex,Android Rex
robotAndroidChronos,Android Chronos
robotAndroidAxl,Android A.X.L
robotAndroidClank,Android Clank
robotAndroidRalph,Android R.A.L.P.H
robotAndroidEva,Android Eva
robotAndroidOrion,Android Orion
robotAndroidPrimeOvercharged,Android Prime [FFEA00]Overcharged[-]
robotAndroidBoltOvercharged,Android Bolt [FFEA00]Overcharged[-]
robotAndroidAndromedaOvercharged,Android Andromeda [FFEA00]Overcharged[-]
robotAndroidRexOvercharged,Android Rex [FFEA00]Overcharged[-]
robotAndroidChronosOvercharged,Android Chronos [FFEA00]Overcharged[-]
robotAndroidAxlOvercharged,Android A.X.L [FFEA00]Overcharged[-]
robotAndroidClankOvercharged,Android Clank [FFEA00]Overcharged[-]
robotAndroidRalphOvercharged,Android R.A.L.P.H [FFEA00]Overcharged[-]
robotAndroidEvaOvercharged,Android Eva [FFEA00]Overcharged[-]
robotAndroidOrionOvercharged,Android Orion [FFEA00]Overcharged[-]
robotAndroidPrimeShocker,Android Prime [33CCFF]Shocker[-]
robotAndroidBoltShocker,Android Bolt [33CCFF]Shocker[-]
robotAndroidAndromedaShocker,Android Andromeda [33CCFF]Shocker[-]
robotAndroidRexShocker,Android Rex [33CCFF]Shocker[-]
robotAndroidChronosShocker,Android Chronos [33CCFF]Shocker[-]
robotAndroidAxlShocker,Android A.X.L [33CCFF]Shocker[-]
robotAndroidClankShocker,Android Clank [33CCFF]Shocker[-]
robotAndroidRalphShocker,Android R.A.L.P.H [33CCFF]Shocker[-]
robotAndroidEvaShocker,Android Eva [33CCFF]Shocker[-]
robotAndroidOrionShocker,Android Orion [33CCFF]Shocker[-]
robotAndroidPrimeInferno,Android Prime [FFA500]Inferno[-]
robotAndroidBoltInferno,Android Bolt [FFA500]Inferno[-]
robotAndroidAndromedaInferno,Android Andromeda [FFA500]Inferno[-]
robotAndroidRexInferno,Android Rex [FFA500]Inferno[-]
robotAndroidChronosInferno,Android Chronos [FFA500]Inferno[-]
robotAndroidAxlInferno,Android A.X.L [FFA500]Inferno[-]
robotAndroidClankInferno,Android Clank [FFA500]Inferno[-]
robotAndroidRalphInferno,Android R.A.L.P.H [FFA500]Inferno[-]
robotAndroidEvaInferno,Android Eva [FFA500]Inferno[-]
robotAndroidOrionInferno,Android Orion [FFA500]Inferno[-]
robotAndroidPrimeRadiated,Android Prime [4EE44E]Radiated[-]
robotAndroidBoltRadiated,Android Bolt [4EE44E]Radiated[-]
robotAndroidAndromedaRadiated,Android Andromeda [4EE44E]Radiated[-]
robotAndroidRexRadiated,Android Rex [4EE44E]Radiated[-]
robotAndroidChronosRadiated,Android Chronos [4EE44E]Radiated[-]
robotAndroidAxlRadiated,Android A.X.L [4EE44E]Radiated[-]
robotAndroidClankRadiated,Android Clank [4EE44E]Radiated[-]
robotAndroidRalphRadiated,Android R.A.L.P.H [4EE44E]Radiated[-]
robotAndroidEvaRadiated,Android Eva [4EE44E]Radiated[-]
robotAndroidOrionRadiated,Android Orion [4EE44E]Radiated[-]
robotCyborgNova,Cyborg Nova
robotCyborgSpark,Cyborg Spark
robotCyborgTitan,Cyborg Titan T-800
robotCyborgNovaOvercharged,Cyborg Nova [FFEA00]Overcharged[-]
robotCyborgSparkOvercharged,Cyborg Spark [FFEA00]Overcharged[-]
robotCyborgTitanOvercharged,Cyborg Titan T-800 [FFEA00]Overcharged[-]
robotCyborgNovaShocker,Cyborg Nova [33CCFF]Shocker[-]
robotCyborgSparkShocker,Cyborg Spark [33CCFF]Shocker[-]
robotCyborgTitanShocker,Cyborg Titan T-800 [33CCFF]Shocker[-]
robotCyborgNovaInferno,Cyborg Nova [FFA500]Inferno[-]
robotCyborgSparkInferno,Cyborg Spark [FFA500]Inferno[-]
robotCyborgTitanInferno,Cyborg Titan T-800 [FFA500]Inferno[-]
robotCyborgNovaRadiated,Cyborg Nova [4EE44E]Radiated[-]
robotCyborgSparkRadiated,Cyborg Spark [4EE44E]Radiated[-]
robotCyborgTitanRadiated,Cyborg Titan T-800 [4EE44E]Radiated[-]
robotDroneNano,Nano Drone
robotDronePoliceNano,Nano Police Drone
robotDroneRacing,Racing Drone
robotDronePolice,Police Drone
robotDroneSecurity,Security Drone
robotDroneMothership,Mothership Drone
robotDog,Robot Dog
robotCombatDog,Combat Dog
robotAdvancedCombatDog,Advanced Combat Dog
robotSpiderBot,Spider Bot
robotSpiderBotNano,Nano Spider Bot
robotDroidSoldier,Soldier Droid
robotDroidCombat,Combat Droid
robotDroidBomber,Bomber Droid
robotMechLightBiped,Light Biped Mech
robotMechHeavyBiped,Heavy Biped Mech
robotMechMining,Mining Mech
robotMechQuadruped,Quadruped Mech
trader_rekt,Trader Luna
trader_rekt2,Trader Luna
trader_rekt_by_MPLogue,Trader Luna (MPLogue)
quest_BasicSurvival1,Basic Survival 1/1
modGunMeleeTheHunterSchematic,The Exterminator Mod Schematic
modGunMeleeTheHunter,The Exterminator Mod
modGunMeleeTheHunterDesc,+25% more damage to Mechs and Droids (not Androids or Cyborgs).
modMeleeClubBarbedWireDesc,"20% chance to cause mechanical damage, 40% with power attacks.\nCan be installed in clubs."
modMeleeSerratedBladeDesc,10% chance to cause a Mechanical Wound on a regular attack.
modMeleeStunBatonRepulsorDesc,Install this mod into a stun baton and send enemies flying on the charged hit.
modMeleeErgonomicGripDesc,Decreases melee stamina usage by 10%.
modArmorCigarDesc,Look intimidating and get a better deal from traders. Also boosts your miner 69'er skill!	
goZombieBMMove,Enemy Blood Moon Speed
goZombieBMMoveDesc,Sets enemy movement mode. Default is sprint during blood moon.
goZombieFeralMove,Enemy Feral Speed
goZombieFeralMoveDesc,Sets enemy movement mode. Default is sprint if feral.
goZombieFeralSense,Enemy Feral Sense
goZombieFeralSenseDesc,Increases the ability for enemies to hear or see you
goZombieMove,Enemy Day Speed
goZombieMoveDesc,Sets enemy movement mode. Default is walk at day.
goZombieMoveNight,Enemy Night Speed
goZombieMoveNightDesc,Sets enemy movement mode. Default is sprint at night
goEnemySpawnDesc,Enemy Spawning On:\nAdds enemies to the world.\n\nEnemy Spawning off:\nTurns off all enenmy spawning in the world.
goBloodMoonEnemyCountDesc,"This is the number of enemies that can be alive (spawned at the same time) at any time PER PLAYER during a blood moon horde, however, MaxSpawnedZombies overrides this number in multiplayer games.\nAlso note that your game stage sets the max number of enemies PER PARTY. Low game stage values can result in lower number of enemies than the BloodMoonEnemyCount setting.\nChanging this setting has a huge impact on performance. Change at your own risk."
goBedrollDeadZoneSizeDesc,Bedrolls create an area where enemies do not respawn. Any cleared sleeper volumes that touch this area will not respawn after they've been cleared.
goEnemyDifficultyDesc,Controls how aggressive enemies are. Feral means enemies are very aggressive and can sense you even through walls at night.
goGameModeDesc,::Survival MP::\nFight against other players or band together to survive the apocalypse. Use the provided Land Claim Block to protect your base against other players.\n\n::Survival SP::\nPlay Solo against hordes of enemies exploring Navezgane County Arizona to uncover the truth behind what really happened.
goLootAbundanceDesc,The percentage of loot to spawn in containers.
goMaxSpawnedAnimals,Max Robotic Animals
goMaxSpawnedAnimalsDesc,How many robotic animals can be spawned in the world at once.
goMaxSpawnedZombies,Max Enemies
goMaxSpawnedZombiesDesc,This setting covers the entire map. There can only be this many enemies on the entire map at one time.\nChanging this setting has a huge impact on performance. Change at your own risk.
gmZombieHorde,Robot Horde
gmSurvivalMPDesc,::Survival MP::\nFight against other players or band together to survive the apocalypse earning land claims to protect your fort against other players. New players start with a Land Claim Block and additional ones can be crafted.
gmSurvivalSPDesc,::Survival SP::\nPlay Solo against hordes of enemies exploring Navezgane County Arizona to uncover the truth behind what really happened.
quest_clear_completion,Well I'll be danged. You really managed to pull through in a pinch. Thanks for killing all those enemies. Here's what I owe ya.
quest_clear_description,Head to [DECEA3]{poi.name}[-] and clear out the enemies. This location could be useful to our cause.
quest_clear_response,Clear Enemies ([DECEA3]{poi.distance} {poi.direction}[-])
quest_clear_statement,Clear out the enemies in the area.
quest_fetch_clear_completion,Well I'll be danged. You really managed to pull through in a pinch. Thanks for killing those enemies and retrieving the supplies. Here's what I owe ya.
quest_fetch_clear_description,Head to [DECEA3]{poi.name}[-]. Kill all the enemies and retrieve the shipment.
quest_fetch_clear_statement,Bring back the shipment and destroy those enemies.
quest_infestation_statement,Clear out the infested enemies in the area.
quest_restore_power_description,"Head to [DECEA3]{poi.name}[-] and turn back on the generators. While you are there, clear out all the enemies you find inside."
quest_tier1_clear_offer,Go prove that you have what it takes to be a part of White River Runners. We need you to clear out the enemies at [DECEA3]{poi.name}[-].
quest_tier2_clear_offer,"You are ready for more, huh? Well this one will be a little harder but I'm sure you will manage. Go kill all the enemies at [DECEA3]{poi.name}[-]."
quest_tier2_fetch_clear_offer,One of our Runners had to stash their shipment at [DECEA3]{poi.name}[-]. Go exterminate the enemies and retrieve the shipment.
quest_tier1_restore_power_offer,We found a building that is well suited for a new outpost. Go to [DECEA3]{poi.name}[-] and reset the generators. Clear out any enemies you find inside.
quest_tier2_restore_power_offer,We found a building that is well suited for a new outpost. Go to [DECEA3]{poi.name}[-] and reset the generators. Clear out any enemies you find inside.
quest_tier3_restore_power_offer,Our community reported a good size structure that contains significant resources we badly need. Go to [DECEA3]{poi.name}[-] and reset the generators. Clear out any enemies you find inside.
quest_tier4_restore_power_offer,We found a location that we believe is large enough to defend and accomodate our growing communities needs. Go to [DECEA3]{poi.name}[-] and reset the generators. Clear out any enemies you find inside.
quest_tier2_infested_clear_offer,"We located a highly infested robot hideout nearby. The location is critical to the survival of our colony. Go clear out the enemies at [DECEA3]{poi.name}[-]. Remember, there’s more of them, they’re moving faster and they’re harder to kill. Good Luck!"
quest_tier3_clear_offer,You did a great job on the last clearing but this one may be a bit tougher. I'm sure you can handle it. Go wipe out the enemies at [DECEA3]{poi.name}[-].
quest_tier3_fetch_clear_offer,One of the boys were being overrun by enemies during a supply run. They told me exactly where to find the shipment at [DECEA3]{poi.name}[-]. Go destroy the enemies and retrieve the goods.
quest_tier3_infested_clear_offer,We’ve caught word from one of our runners that our safehouse at [DECEA3]{poi.name}[-] has become infested with enemies. Clear the threat survivor!
quest_tier4_clear_offer,You know the drill. Go exterminate all the enemies at [DECEA3]{poi.name}[-].
quest_tier4_fetch_clear_offer,We need to retrieve our supplies at [DECEA3]{poi.name}[-]. We know where they stashed them. Go clear out the enemies and retrieve the supplies.
quest_tier4_infested_clear_offer,We’ve just learned that a swarm of infested enemies has wiped out our team at [DECEA3]{poi.name}[-]. Gather up all your weapons and prepare for the worst.
quest_tier5_infested_clear_offer,Holy Shit! A major settlement has been overrun by a group of infested enemies. Use extreme caution and clear the threat at [DECEA3]{poi.name}[-].
quest_tier6_clear_offer,"This may be the toughest clear job yet, but I know I can count on you. Go finish off the enemies at [DECEA3]{poi.name}[-]. Good luck."
quest_tier6_infested_clear_offer,Holy Shit! A major settlement has been overrun by a group of infested enemies. Use extreme caution and clear the threat at [DECEA3]{poi.name}[-].
quest_tier1_restore_power,Tier 1 Restore Power
quest_restore_power_response,Restore Power ([DECEA3]{poi.distance} {poi.direction}[-])
questRewardFarmBundleDesc,"A bundle of farm plots, the farming multitool and random seeds."
questStarterCapsule,Starter Capsule
questStarterCapsuleDesc,"A capsule containing essential items for survival."
questRewardLegendaryBatonCraftingBundle,Legendary Stun Baton Crafting Bundle
questRewardLegendaryHandgunCraftingBundle,Legendary Handgun Crafting Bundle
questRewardLegendaryMacheteCraftingBundle,Legendary Blade Crafting Bundle
questRewardLegendaryRocketLauncherCraftingBundle,Legendary Launcher Crafting Bundle
questRewardLegendarySteelClubCraftingBundle,Legendary Club Crafting Bundle
questRewardLegendarySteelKnuckleCraftingBundle,Legendary Knuckle Crafting Bundle
questRewardLegendarySteelSledgehammerCraftingBundle,Legendary Sledgehammer Crafting Bundle
questRewardLegendarySteelSpearCraftingBundle,Legendary Spear Crafting Bundle
questRewardLegendarySteelToolsCraftingBundle,Legendary Tools Crafting Bundle
noteDuke01,A Note from The Resistance
noteDuke01Desc,"To whoever finds this, \n\nThings went south fast. We got ambushed by a swarm of bots, and we couldn't hold 'em off. They tore through us like paper; they seem to be programmed to kill any signs of life, undead or not. The zombies have a strange glow to them; I don't know what is causing it, but whatever it is, it's been keeping them alive all this time. I'm scribbling this down quick 'cause I can't keep up anymore. My suit is busted up bad, and I'd only slow down the rest. So, I'm staying put. \n\nBut listen, there's hope. I've concealed a capsule with this note. Inside, you'll find gear that might just keep you going—maps, supplies, tools. Use them well, for all our sakes. Stay strong, stay alive. We're counting on you to keep the fight alive."
buffDukeNoteToolTip,[00FF00]The Resistance left you a note to read[-]
buffDukeNoteName,Read the Note from The Resistance
buffDukeNoteDesc,Reading the Note from The Resistance or reaching Level 2 will dismiss this reminder.
quest_WhiteRiverCitizen1_description,"Pshh! Come in Ranger,\n\nWe've intercepted your distress signal and have marked your map with the nearest White River Outpost location. There you will find a Trader where you can buy and sell goods and get yourself patched up; they may also have some work for you.\n\nGood Luck, Sgt. Fury"
quest_white_river_completion,"Sgt. Fury sent you, eh? Well, you're going to have to show us your capabilities.\n\nTake this shovel and accept your first quest."
harvestTip,Use any bladed tool or weapon like a Laser Knife to harvest plants and crops.\nUse a wrench to break down cars or mechanical items for advanced resources.\nPerks can increase the harvest yield in several areas.
infectionTip_title,Radiation
infectionTip,"Radiation is a constant danger in the apocalypse.\nAcid Rain in the wasteland is the most dangerous source of radiation, stocking up on medication is highly recommended.\n\nRadiation will drain your stamina and in later stages also your attributes. If untreated it is lethal within 7 game days.\n\nUsing Anti-Radiation Pills will immediately make you feel better and reduce the negative effects. A cure reduces the radiation percentage by the amount listed on the item.\n\nThe Radiation symbol on the HUD will change color to indicate your level of radiation exposure"
onFireTip,"Some weapons, enemies, or parts of the environment can set you on fire. To extinguish that fire you can jump into water, submerging yourself, or 'drink' an item like a water jar. Drinking water will also prevent being set on fire for 10 seconds."
airDropTip,Air Supply Drops can happen around mid-day. Listen for the airplane and follow the blue smoke to find the crate the plane drops. You can also find supply crates marked on your map if the mark air drops option is enabled.
loadingTipMainHUD,"On your HUD your health, stamina and radiation levels are shown as red, blue and either green, orange or red for radiation depending on your exposure level. Food and Water levels are shown as green and blue on the right side of your toolbelt. Open your character screen with [action:local:Inventory][action:permanent:Character] to see detailed player stats in the tabs below your character name."
loadingTipPickaxes,"Pickaxes are great for harvesting the various ores such as iron, lead, coal, oil shale, potassium nitrate and cobalt."
loadingTipBaseUpgrading,"Building blocks can be upgraded to stronger versions using material and a stone axe.\nThe most common upgrade materials are: wood, cobblestone rocks, concrete mix, forged steel and forged cobalt."
loadingTipHarvestingRobots,"Harvest robots with a salvage tool to gain useful materials such as electrical parts, mechanical parts and more."
loadingTipHarvestingRobots_title,Harvesting Robots
loadingTipHarvestingNanoChips,Nano chips are small computing devices that can be harvested from robots and high tech vehicles with a salvage tool.
loadingTipHarvestingNanoChips_title,Nano Chips
zombie_slayer_name_soldier,Soldier Slayer
zombie_slayer_subtitle_soldier,Soldier Slayer
exterminator_name,Exterminator
exterminator_subtitle,Exterminator
exterminator_name_any_robot,Robot Exterminator
exterminator_subtitle_any_robot,Robot Exterminator
exterminator_desc,Good job ranger! You've completed one of the Exterminator Challenges.\n\nGo to any trader to collect your reward.
exterminator_completion,Good work ranger! You've completed the Exterminator Challenge Group.\n\nGo to any trader to collect your reward.
exterminator_name_overcharged_robot,Overcharged Robot Exterminator
exterminator_subtitle_overcharged_robot,Overcharged Robot Exterminator
exterminator_name_radiated_robot,Radiated Robot Exterminator
exterminator_subtitle_radiated_robot,Radiated Robot Exterminator
exterminator_name_inferno_robot,Inferno Robot Exterminator
exterminator_subtitle_inferno_robot,Inferno Robot Exterminator
exterminator_name_shocker_robot,Shocker Robot Exterminator
